Distance(m), Date and Time (local),Tag 1,Tag 2
139.1,2/09/2014 0:00,89.35,
139.1,3/09/2014 0:00,55.15,
139.1,4/09/2014 0:00,67.01,
139.1,5/09/2014 0:00,67.71,
139.1,6/09/2014 0:00,80.97,
139.1,7/09/2014 0:00,77.48,
139.1,8/09/2014 0:00,82.37,
139.1,9/09/2014 0:00,83.07,
139.1,10/09/2014 0:00,86.56,
139.1,11/09/2014 0:00,82.37,
139.1,12/09/2014 0:00,76.79,
139.1,13/09/2014 0:00,89.35,
139.1,14/09/2014 0:00,94.94,
139.1,15/09/2014 0:00,87.26,
139.1,16/09/2014 0:00,84.46,
139.1,17/09/2014 0:00,37,
139.1,18/09/2014 0:00,0,
139.1,19/09/2014 0:00,53.75,
139.1,20/09/2014 0:00,87.26,
139.1,21/09/2014 0:00,85.16,
139.1,22/09/2014 0:00,86.56,
139.1,23/09/2014 0:00,76.79,
139.1,24/09/2014 0:00,76.09,
139.1,25/09/2014 0:00,69.81,
139.1,26/09/2014 0:00,63.52,
139.1,27/09/2014 0:00,48.86,
139.1,28/09/2014 0:00,63.52,
139.1,29/09/2014 0:00,64.92,
139.1,30/09/2014 0:00,67.71,
139.1,1/10/2014 0:00,57.24,
139.1,2/10/2014 0:00,53.05,
139.1,3/10/2014 0:00,57.24,
139.1,4/10/2014 0:00,35.6,
139.1,5/10/2014 0:00,39.79,
139.1,6/10/2014 1:00,51.66,
139.1,7/10/2014 1:00,30.02,
139.1,8/10/2014 1:00,20.94,
139.1,9/10/2014 1:00,13.26,
139.1,10/10/2014 1:00,28.62,
139.1,11/10/2014 1:00,46.77,
139.1,12/10/2014 1:00,41.19,
139.1,13/10/2014 1:00,37,
139.1,14/10/2014 1:00,42.58,
139.1,15/10/2014 1:00,56.54,
139.1,16/10/2014 1:00,43.28,
139.1,17/10/2014 1:00,24.43,
139.1,18/10/2014 1:00,42.58,
139.1,19/10/2014 1:00,40.49,
139.1,20/10/2014 1:00,47.47,
139.1,21/10/2014 1:00,34.2,
139.1,22/10/2014 1:00,46.77,
139.1,23/10/2014 1:00,44.68,
139.1,24/10/2014 1:00,65.62,
139.1,25/10/2014 1:00,51.66,
139.1,26/10/2014 1:00,55.84,
139.1,27/10/2014 1:00,67.01,
139.1,28/10/2014 1:00,67.01,
139.1,29/10/2014 1:00,69.81,
139.1,30/10/2014 1:00,51.66,
139.1,31/10/2014 1:00,71.2,
139.1,1/11/2014 1:00,70.5,
139.1,2/11/2014 1:00,61.43,
139.1,3/11/2014 1:00,57.94,
139.1,4/11/2014 1:00,61.43,
139.1,5/11/2014 1:00,65.62,
139.1,6/11/2014 1:00,67.01,
139.1,7/11/2014 1:00,62.83,
139.1,8/11/2014 1:00,77.48,
139.1,9/11/2014 1:00,60.03,
139.1,10/11/2014 1:00,57.94,
139.1,11/11/2014 1:00,60.73,
139.1,12/11/2014 1:00,62.13,
139.1,13/11/2014 1:00,70.5,
139.1,14/11/2014 1:00,64.22,
139.1,15/11/2014 1:00,43.28,
139.1,16/11/2014 1:00,55.15,
139.1,17/11/2014 1:00,50.96,
139.1,18/11/2014 1:00,57.24,
139.1,19/11/2014 1:00,60.03,
139.1,20/11/2014 1:00,61.43,
139.1,21/11/2014 1:00,57.24,
139.1,22/11/2014 1:00,57.24,
139.1,23/11/2014 1:00,54.45,
139.1,24/11/2014 1:00,45.37,
139.1,25/11/2014 1:00,37.7,
139.1,26/11/2014 1:00,55.15,
139.1,27/11/2014 1:00,40.49,
139.1,28/11/2014 1:00,43.28,
139.1,29/11/2014 1:00,53.05,
139.1,30/11/2014 1:00,34.9,
139.1,1/12/2014 1:00,41.88,
139.1,2/12/2014 1:00,57.24,
139.1,3/12/2014 1:00,27.22,
139.1,4/12/2014 1:00,48.17,
139.1,5/12/2014 1:00,43.28,
139.1,6/12/2014 1:00,41.19,
139.1,7/12/2014 1:00,30.71,
139.1,8/12/2014 1:00,53.05,
139.1,9/12/2014 1:00,34.2,
139.1,10/12/2014 1:00,50.26,
139.1,11/12/2014 1:00,52.35,
139.1,12/12/2014 1:00,41.88,
139.1,13/12/2014 1:00,18.85,
139.1,14/12/2014 1:00,35.6,
139.1,15/12/2014 1:00,55.84,
139.1,16/12/2014 1:00,63.52,
139.1,17/12/2014 1:00,36.3,
139.1,18/12/2014 1:00,41.88,
139.1,19/12/2014 1:00,30.71,
139.1,20/12/2014 1:00,24.43,
139.1,21/12/2014 1:00,46.77,
139.1,22/12/2014 1:00,66.32,
139.1,23/12/2014 1:00,44.68,
139.1,24/12/2014 1:00,24.43,
139.1,25/12/2014 1:00,33.51,
139.1,26/12/2014 1:00,21.64,
139.1,27/12/2014 1:00,9.77,
139.1,28/12/2014 1:00,25.13,
139.1,29/12/2014 1:00,41.19,
139.1,30/12/2014 1:00,23.04,
139.1,31/12/2014 1:00,23.04,
139.1,1/01/2015 1:00,41.88,
139.1,2/01/2015 1:00,8.38,
139.1,3/01/2015 1:00,30.71,
139.1,4/01/2015 1:00,15.36,
139.1,5/01/2015 1:00,7.68,
139.1,6/01/2015 1:00,11.17,
139.1,7/01/2015 1:00,18.15,
139.1,8/01/2015 1:00,40.49,
139.1,9/01/2015 1:00,13.96,
139.1,10/01/2015 1:00,9.77,
139.1,11/01/2015 1:00,8.38,
139.1,12/01/2015 1:00,30.71,
139.1,13/01/2015 1:00,6.98,
139.1,14/01/2015 1:00,27.92,
139.1,15/01/2015 1:00,5.58,
139.1,16/01/2015 1:00,7.68,
139.1,17/01/2015 1:00,13.26,
139.1,18/01/2015 1:00,2.09,
139.1,19/01/2015 1:00,8.38,
139.1,20/01/2015 1:00,2.09,
139.1,21/01/2015 1:00,3.49,
139.1,22/01/2015 1:00,2.79,
139.1,23/01/2015 1:00,20.94,
139.1,24/01/2015 1:00,5.58,
139.1,25/01/2015 1:00,19.55,
139.1,26/01/2015 1:00,11.87,
139.1,27/01/2015 1:00,8.38,
139.1,28/01/2015 1:00,26.53,
139.1,29/01/2015 1:00,62.83,
139.1,30/01/2015 1:00,7.68,
139.1,31/01/2015 1:00,2.09,
139.1,1/02/2015 1:00,6.98,
139.1,2/02/2015 1:00,20.94,
139.1,3/02/2015 1:00,1.4,
139.1,4/02/2015 1:00,2.09,
139.1,5/02/2015 1:00,1.4,
139.1,6/02/2015 1:00,1.4,
139.1,7/02/2015 1:00,9.07,
139.1,8/02/2015 1:00,3.49,
139.1,9/02/2015 1:00,1.4,
139.1,10/02/2015 1:00,4.19,
139.1,11/02/2015 1:00,15.36,
139.1,12/02/2015 1:00,11.87,
139.1,13/02/2015 1:00,4.89,
139.1,14/02/2015 1:00,11.17,
139.1,15/02/2015 1:00,2.79,
139.1,16/02/2015 1:00,14.66,
139.1,17/02/2015 1:00,11.17,
139.1,18/02/2015 1:00,13.26,
139.1,19/02/2015 1:00,20.24,
139.1,20/02/2015 1:00,26.53,
139.1,21/02/2015 1:00,31.41,
139.1,22/02/2015 1:00,30.02,
139.1,23/02/2015 1:00,17.45,
139.1,24/02/2015 1:00,15.36,
139.1,25/02/2015 1:00,4.19,
139.1,26/02/2015 1:00,16.75,
139.1,27/02/2015 1:00,14.66,
139.1,28/02/2015 1:00,21.64,
139.1,1/03/2015 1:00,17.45,
139.1,2/03/2015 1:00,2.79,
139.58,2/09/2014 0:00,55.15,
139.58,3/09/2014 0:00,35.6,
139.58,4/09/2014 0:00,71.2,
139.58,5/09/2014 0:00,67.71,
139.58,6/09/2014 0:00,76.09,
139.58,7/09/2014 0:00,77.48,
139.58,8/09/2014 0:00,68.41,
139.58,9/09/2014 0:00,71.2,
139.58,10/09/2014 0:00,78.18,
139.58,11/09/2014 0:00,72.6,
139.58,12/09/2014 0:00,71.9,
139.58,13/09/2014 0:00,75.39,
139.58,14/09/2014 0:00,90.75,
139.58,15/09/2014 0:00,79.58,
139.58,16/09/2014 0:00,69.11,
139.58,17/09/2014 0:00,40.49,
139.58,18/09/2014 0:00,0,
139.58,19/09/2014 0:00,39.09,
139.58,20/09/2014 0:00,70.5,
139.58,21/09/2014 0:00,69.81,
139.58,22/09/2014 0:00,66.32,
139.58,23/09/2014 0:00,57.94,
139.58,24/09/2014 0:00,52.35,
139.58,25/09/2014 0:00,67.01,
139.58,26/09/2014 0:00,27.92,
139.58,27/09/2014 0:00,4.19,
139.58,28/09/2014 0:00,16.06,
139.58,29/09/2014 0:00,13.26,
139.58,30/09/2014 0:00,24.43,
139.58,1/10/2014 0:00,32.11,
139.58,2/10/2014 0:00,21.64,
139.58,3/10/2014 0:00,17.45,
139.58,4/10/2014 0:00,11.17,
139.58,5/10/2014 0:00,24.43,
139.58,6/10/2014 1:00,45.37,
139.58,7/10/2014 1:00,17.45,
139.58,8/10/2014 1:00,6.28,
139.58,9/10/2014 1:00,3.49,
139.58,10/10/2014 1:00,15.36,
139.58,11/10/2014 1:00,32.11,
139.58,12/10/2014 1:00,24.43,
139.58,13/10/2014 1:00,43.28,
139.58,14/10/2014 1:00,33.51,
139.58,15/10/2014 1:00,49.56,
139.58,16/10/2014 1:00,46.77,
139.58,17/10/2014 1:00,25.83,
139.58,18/10/2014 1:00,29.32,
139.58,19/10/2014 1:00,31.41,
139.58,20/10/2014 1:00,37.7,
139.58,21/10/2014 1:00,22.34,
139.58,22/10/2014 1:00,17.45,
139.58,23/10/2014 1:00,30.71,
139.58,24/10/2014 1:00,27.92,
139.58,25/10/2014 1:00,17.45,
139.58,26/10/2014 1:00,25.83,
139.58,27/10/2014 1:00,32.81,
139.58,28/10/2014 1:00,45.37,
139.58,29/10/2014 1:00,35.6,
139.58,30/10/2014 1:00,48.17,
139.58,31/10/2014 1:00,47.47,
139.58,1/11/2014 1:00,57.24,
139.58,2/11/2014 1:00,43.98,
139.58,3/11/2014 1:00,32.11,
139.58,4/11/2014 1:00,39.79,
139.58,5/11/2014 1:00,43.98,
139.58,6/11/2014 1:00,57.24,
139.58,7/11/2014 1:00,53.75,
139.58,8/11/2014 1:00,54.45,
139.58,9/11/2014 1:00,51.66,
139.58,10/11/2014 1:00,36.3,
139.58,11/11/2014 1:00,36.3,
139.58,12/11/2014 1:00,39.79,
139.58,13/11/2014 1:00,53.75,
139.58,14/11/2014 1:00,50.26,
139.58,15/11/2014 1:00,24.43,
139.58,16/11/2014 1:00,42.58,
139.58,17/11/2014 1:00,44.68,
139.58,18/11/2014 1:00,29.32,
139.58,19/11/2014 1:00,34.9,
139.58,20/11/2014 1:00,43.28,
139.58,21/11/2014 1:00,37,
139.58,22/11/2014 1:00,30.02,
139.58,23/11/2014 1:00,34.2,
139.58,24/11/2014 1:00,21.64,
139.58,25/11/2014 1:00,16.75,
139.58,26/11/2014 1:00,36.3,
139.58,27/11/2014 1:00,14.66,
139.58,28/11/2014 1:00,16.75,
139.58,29/11/2014 1:00,25.13,
139.58,30/11/2014 1:00,18.15,
139.58,1/12/2014 1:00,27.22,
139.58,2/12/2014 1:00,32.11,
139.58,3/12/2014 1:00,12.57,
139.58,4/12/2014 1:00,23.73,
139.58,5/12/2014 1:00,9.07,
139.58,6/12/2014 1:00,6.98,
139.58,7/12/2014 1:00,3.49,
139.58,8/12/2014 1:00,13.26,
139.58,9/12/2014 1:00,5.58,
139.58,10/12/2014 1:00,16.06,
139.58,11/12/2014 1:00,27.92,
139.58,12/12/2014 1:00,24.43,
139.58,13/12/2014 1:00,4.19,
139.58,14/12/2014 1:00,12.57,
139.58,15/12/2014 1:00,25.83,
139.58,16/12/2014 1:00,39.79,
139.58,17/12/2014 1:00,10.47,
139.58,18/12/2014 1:00,14.66,
139.58,19/12/2014 1:00,7.68,
139.58,20/12/2014 1:00,3.49,
139.58,21/12/2014 1:00,25.83,
139.58,22/12/2014 1:00,48.17,
139.58,23/12/2014 1:00,21.64,
139.58,24/12/2014 1:00,23.73,
139.58,25/12/2014 1:00,2.09,
139.58,26/12/2014 1:00,1.4,
139.58,27/12/2014 1:00,0,
139.58,28/12/2014 1:00,0.7,
139.58,29/12/2014 1:00,15.36,
139.58,30/12/2014 1:00,17.45,
139.58,31/12/2014 1:00,0.7,
139.58,1/01/2015 1:00,11.17,
139.58,2/01/2015 1:00,0.7,
139.58,3/01/2015 1:00,5.58,
139.58,4/01/2015 1:00,2.79,
139.58,5/01/2015 1:00,0,
139.58,6/01/2015 1:00,0.7,
139.58,7/01/2015 1:00,3.49,
139.58,8/01/2015 1:00,13.26,
