date,Receiver,n,prop,rec
0014-03-11,3,246,0.3509272467902996,220
0014-03-11,5,14,0.019971469329529243,420
0014-03-11,4,257,0.3666191155492154,230
0014-03-11,2,279,0.3980028530670471,100
0014-03-11,1,337,0.48074179743223966,0
0014-03-12,3,316,0.4507845934379458,220
0014-03-12,5,12,0.017118402282453638,420
0014-03-12,4,376,0.536376604850214,230
0014-03-12,2,395,0.5634807417974322,100
0014-03-12,1,543,0.7746077032810271,0
0014-03-13,3,342,0.48787446504992865,220
0014-03-13,4,349,0.4978601997146933,230
0014-03-13,2,468,0.6676176890156919,100
0014-03-13,1,549,0.7831669044222539,0
0014-03-14,3,476,0.6790299572039943,220
0014-03-14,5,49,0.06990014265335236,420
0014-03-14,4,428,0.6105563480741797,230
0014-03-14,2,461,0.6576319543509273,100
0014-03-14,1,512,0.7303851640513552,0
0014-03-15,3,474,0.6761768901569187,220
0014-03-15,5,80,0.11412268188302425,420
0014-03-15,4,444,0.6333808844507846,230
0014-03-15,2,460,0.6562054208273894,100
0014-03-15,1,644,0.9186875891583453,0
0014-03-16,3,444,0.6333808844507846,220
0014-03-16,5,80,0.11412268188302425,420
0014-03-16,4,427,0.609129814550642,230
0014-03-16,2,486,0.6932952924393724,100
0014-03-16,1,650,0.927246790299572,0
0014-03-17,3,462,0.6590584878744651,220
0014-03-17,5,91,0.12981455064194009,420
0014-03-17,4,422,0.6019971469329529,230
0014-03-17,2,458,0.6533523537803139,100
0014-03-17,1,613,0.8744650499286734,0
0014-03-18,3,472,0.6733238231098431,220
0014-03-18,5,115,0.16405135520684735,420
0014-03-18,4,468,0.6676176890156919,230
0014-03-18,2,485,0.6918687589158345,100
0014-03-18,1,596,0.8502139800285307,0
0014-03-19,3,406,0.57917261055634806,220
0014-03-19,5,11,0.015691868758915834,420
0014-03-19,4,412,0.5877318116975749,230
0014-03-19,2,462,0.6590584878744651,100
0014-03-19,1,585,0.8345221112696148,0
0014-03-20,3,416,0.5934379457917262,220
0014-03-20,5,21,0.029957203994293864,420
0014-03-20,4,403,0.5748930099857347,230
0014-03-20,2,441,0.6291012838801712,100
0014-03-20,1,544,0.776034236804565,0
0014-03-21,3,462,0.6590584878744651,220
0014-03-21,5,75,0.10699001426533523,420
0014-03-21,4,432,0.6162624821683309,230
0014-03-21,2,464,0.6619115549215406,100
0014-03-21,1,563,0.8031383737517832,0
0014-03-22,3,418,0.5962910128388017,220
0014-03-22,5,41,0.05848787446504993,420
0014-03-22,4,421,0.6005706134094151,230
0014-03-22,2,478,0.68188302425107,100
0014-03-22,1,580,0.8273894436519258,0
0014-03-23,3,464,0.6619115549215406,220
0014-03-23,5,1,0.0014265335235378032,420
0014-03-23,4,446,0.6362339514978602,230
0014-03-23,2,493,0.703281027104137,100
0014-03-23,1,665,0.948644793152639,0
0014-03-24,3,512,0.7303851640513552,220
0014-03-24,4,490,0.6990014265335235,230
0014-03-24,2,538,0.7674750356633381,100
0014-03-24,1,700,0.9985734664764622,0
0014-03-25,3,539,0.7689015691868759,220
0014-03-25,5,17,0.024251069900142655,420
0014-03-25,4,460,0.6562054208273894,230
0014-03-25,2,596,0.8502139800285307,100
0014-03-25,1,684,0.9757489300998573,0
0014-03-26,3,416,0.5934379457917262,220
0014-03-26,5,13,0.018544935805991442,420
0014-03-26,4,363,0.5178316690442225,230
0014-03-26,2,549,0.7831669044222539,100
0014-03-26,1,625,0.891583452211127,0
0014-03-27,3,396,0.5649072753209701,220
0014-03-27,5,36,0.05135520684736091,420
0014-03-27,4,371,0.5292439372325249,230
0014-03-27,2,497,0.7089871611982882,100
0014-03-27,1,635,0.905848787446505,0
0014-03-28,3,382,0.5449358059914408,220
0014-03-28,5,8,0.011412268188302425,420
0014-03-28,4,387,0.5520684736091298,230
0014-03-28,2,433,0.6176890156918687,100
0014-03-28,1,553,0.7888730385164051,0
0014-03-29,3,446,0.6362339514978602,220
0014-03-29,5,19,0.02710413694721826,420
0014-03-29,4,458,0.6533523537803139,230
0014-03-29,2,490,0.6990014265335235,100
0014-03-29,1,628,0.8958630527817404,0
0014-03-30,3,441,0.6291012838801712,220
0014-03-30,5,2,0.0028530670470756064,420
0014-03-30,4,430,0.6134094151212554,230
0014-03-30,2,525,0.7489300998573466,100
0014-03-30,1,595,0.8487874465049928,0
0014-03-31,3,478,0.68188302425107,220
0014-03-31,5,34,0.04850213980028531,420
0014-03-31,4,438,0.6248216833095578,230
0014-03-31,2,493,0.703281027104137,100
0014-03-31,1,554,0.7902995720399429,0
0014-04-01,3,438,0.6248216833095578,220
0014-04-01,5,17,0.024251069900142655,420
0014-04-01,4,426,0.6077032810271041,230
0014-04-01,2,518,0.738944365192582,100
0014-04-01,1,592,0.8445078459343794,0
0014-04-02,3,437,0.62339514978602,220
0014-04-02,5,21,0.029957203994293864,420
0014-04-02,4,402,0.5734664764621968,230
0014-04-02,2,514,0.7332382310984308,100
0014-04-02,1,606,0.8644793152639088,0
0014-04-03,3,457,0.651925820256776,220
0014-04-03,5,29,0.04136947218259629,420
0014-04-03,4,434,0.6191155492154066,230
0014-04-03,2,518,0.738944365192582,100
0014-04-03,1,617,0.8801711840228246,0
0014-04-04,3,486,0.6932952924393724,220
0014-04-04,5,16,0.02282453637660485,420
0014-04-04,4,477,0.6804564907275321,230
0014-04-04,2,534,0.7617689015691869,100
0014-04-04,1,652,0.9300998573466477,0
0014-04-05,3,469,0.6690442225392297,220
0014-04-05,5,11,0.015691868758915834,420
0014-04-05,4,465,0.6633380884450785,230
0014-04-05,2,498,0.7104136947218259,100
0014-04-05,1,605,0.8630527817403709,0
0014-04-06,3,456,0.6504992867332382,220
0014-04-06,5,22,0.03138373751783167,420
0014-04-06,4,448,0.6390870185449358,230
0014-04-06,2,502,0.7161198288159771,100
0014-04-06,1,618,0.8815977175463623,0
0014-04-07,3,433,0.6176890156918687,220
0014-04-07,5,12,0.017118402282453638,420
0014-04-07,4,341,0.4864479315263909,230
0014-04-07,2,562,0.8017118402282454,100
0014-04-07,1,670,0.9557774607703281,0
0014-04-08,3,464,0.6619115549215406,220
0014-04-08,5,10,0.014265335235378032,420
0014-04-08,4,390,0.5563480741797432,230
0014-04-08,2,619,0.8830242510699001,100
0014-04-08,1,687,0.9800285306704708,0
0014-04-09,3,492,0.7018544935805991,220
0014-04-09,5,24,0.034236804564907276,420
0014-04-09,4,389,0.5549215406562055,230
0014-04-09,2,612,0.8730385164051355,100
0014-04-09,1,637,0.9087018544935807,0
0014-04-10,3,460,0.6562054208273894,220
0014-04-10,5,31,0.0442225392296719,420
0014-04-10,4,403,0.5748930099857347,230
0014-04-10,2,560,0.7988587731811697,100
0014-04-10,1,591,0.8430813124108416,0
0014-04-11,3,555,0.7917261055634808,220
0014-04-11,5,52,0.07417974322396577,420
0014-04-11,4,475,0.6776034236804565,230
0014-04-11,2,664,0.9472182596291013,100
0014-04-11,1,702,1.0014265335235377,0
0014-04-12,3,496,0.7075606276747504,220
0014-04-12,5,48,0.06847360912981455,420
0014-04-12,4,478,0.68188302425107,230
0014-04-12,2,529,0.7546362339514978,100
0014-04-12,1,581,0.8288159771754636,0
0014-04-13,3,483,0.6890156918687589,220
0014-04-13,5,19,0.02710413694721826,420
0014-04-13,4,472,0.6733238231098431,230
0014-04-13,2,523,0.746077032810271,100
0014-04-13,1,600,0.8559201141226819,0
0014-04-14,3,452,0.644793152639087,220
0014-04-14,5,20,0.028530670470756064,420
0014-04-14,4,438,0.6248216833095578,230
0014-04-14,2,478,0.68188302425107,100
0014-04-14,1,563,0.8031383737517832,0
0014-04-15,3,481,0.6861626248216833,220
0014-04-15,5,31,0.0442225392296719,420
0014-04-15,4,471,0.6718972895863052,230
0014-04-15,2,519,0.7403708987161198,100
0014-04-15,1,687,0.9800285306704708,0
0014-04-16,3,405,0.5777460770328102,220
0014-04-16,5,13,0.018544935805991442,420
0014-04-16,4,385,0.5492154065620543,230
0014-04-16,2,595,0.8487874465049928,100
0014-04-16,1,688,0.9814550641940085,0
0014-04-17,3,329,0.4693295292439372,220
0014-04-17,5,7,0.009985734664764621,420
0014-04-17,4,361,0.514978601997147,230
0014-04-17,2,562,0.8017118402282454,100
0014-04-17,1,662,0.9443651925820257,0
0014-04-18,3,451,0.6433666191155493,220
0014-04-18,5,50,0.07132667617689016,420
0014-04-18,4,447,0.637660485021398,230
0014-04-18,2,551,0.7860199714693296,100
0014-04-18,1,671,0.9572039942938659,0
0014-04-19,3,408,0.5820256776034237,220
0014-04-19,5,10,0.014265335235378032,420
0014-04-19,4,446,0.6362339514978602,230
0014-04-19,2,545,0.7774607703281027,100
0014-04-19,1,694,0.9900142653352354,0
0014-04-20,3,332,0.47360912981455067,220
0014-04-20,5,62,0.0884450784593438,420
0014-04-20,4,426,0.6077032810271041,230
0014-04-20,2,518,0.738944365192582,100
0014-04-20,1,663,0.9457917261055635,0
0014-04-21,3,326,0.46504992867332384,220
0014-04-21,5,13,0.018544935805991442,420
0014-04-21,4,386,0.550641940085592,230
0014-04-21,2,527,0.7517831669044223,100
0014-04-21,1,648,0.9243937232524965,0
0014-04-22,3,319,0.4550641940085592,220
0014-04-22,5,29,0.04136947218259629,420
0014-04-22,4,376,0.536376604850214,230
0014-04-22,2,507,0.7232524964336662,100
0014-04-22,1,628,0.8958630527817404,0
0014-04-23,3,348,0.4964336661911555,220
0014-04-23,5,21,0.029957203994293864,420
0014-04-23,4,403,0.5748930099857347,230
0014-04-23,2,557,0.7945791726105563,100
0014-04-23,1,627,0.8944365192582026,0
0014-04-24,3,397,0.5663338088445078,220
0014-04-24,5,58,0.08273894436519258,420
0014-04-24,4,432,0.6162624821683309,230
0014-04-24,2,564,0.8045649072753209,100
0014-04-24,1,642,0.9158345221112696,0
0014-04-25,3,419,0.5977175463623395,220
0014-04-25,5,34,0.04850213980028531,420
0014-04-25,4,438,0.6248216833095578,230
0014-04-25,2,484,0.6904422253922967,100
0014-04-25,1,641,0.9144079885877318,0
0014-04-26,3,349,0.4978601997146933,220
0014-04-26,5,16,0.02282453637660485,420
0014-04-26,4,444,0.6333808844507846,230
0014-04-26,2,528,0.7532097004279601,100
0014-04-26,1,673,0.9600570613409415,0
0014-04-27,3,449,0.6405135520684736,220
0014-04-27,5,6,0.008559201141226819,420
0014-04-27,4,439,0.6262482168330956,230
0014-04-27,2,456,0.6504992867332382,100
0014-04-27,1,684,0.9757489300998573,0
0014-04-28,3,409,0.5834522111269614,220
0014-04-28,5,7,0.009985734664764621,420
0014-04-28,4,373,0.5320970042796006,230
0014-04-28,2,473,0.6747503566333809,100
0014-04-28,1,648,0.9243937232524965,0
0014-04-29,3,383,0.5463623395149786,220
0014-04-29,5,40,0.05706134094151213,420
0014-04-29,4,402,0.5734664764621968,230
0014-04-29,2,512,0.7303851640513552,100
0014-04-29,1,648,0.9243937232524965,0
0014-04-30,3,395,0.5634807417974322,220
0014-04-30,5,24,0.034236804564907276,420
0014-04-30,4,406,0.57917261055634806,230
0014-04-30,2,527,0.7517831669044223,100
0014-04-30,1,642,0.9158345221112696,0
0014-05-01,3,458,0.6533523537803139,220
0014-05-01,4,468,0.6676176890156919,230
0014-05-01,2,503,0.717546362339515,100
0014-05-01,1,645,0.920114122681883,0
0014-05-02,3,447,0.637660485021398,220
0014-05-02,4,508,0.724679029957204,230
0014-05-02,2,664,0.9472182596291013,100
0014-05-02,1,675,0.9629101283880172,0
0014-05-03,3,518,0.738944365192582,220
0014-05-03,4,593,0.8459343794579173,230
0014-05-03,2,635,0.905848787446505,100
0014-05-03,1,674,0.9614835948644793,0
0014-05-04,3,329,0.4693295292439372,220
