"","1","2","3","NA","Alcohol_Related_N","Alcohol_Related_Y","DV_Related_N","DV_Related_Y","Assaults"
"2006/1/1",11,57,0,106,71,103,108,66,174
"2006/1/10",4,20,0,41,48,17,44,21,65
"2006/1/11",2,21,0,56,53,26,40,39,79
"2006/1/12",10,18,0,51,52,27,52,27,79
"2006/1/13",7,24,0,60,62,29,46,45,91
"2006/1/14",16,46,0,98,70,90,110,50,160
"2006/1/15",8,38,0,64,63,47,65,45,110
"2006/1/16",4,19,0,59,62,20,59,23,82
"2006/1/17",8,23,0,53,59,25,44,40,84
"2006/1/18",4,22,0,36,49,13,32,30,62
"2006/1/19",2,22,0,55,53,26,53,26,79
"2006/1/2",1,30,1,38,52,18,32,38,70
"2006/1/20",9,43,0,38,56,34,55,35,90
"2006/1/21",7,45,1,62,52,63,73,42,115
"2006/1/22",4,45,0,84,55,78,76,57,133
"2006/1/23",7,27,0,50,56,28,42,42,84
"2006/1/24",3,27,0,40,55,15,38,32,70
"2006/1/25",5,24,0,45,48,26,41,33,74
"2006/1/26",5,50,0,90,69,76,98,47,145
"2006/1/27",7,39,0,80,73,53,84,42,126
"2006/1/28",6,23,1,82,56,56,72,40,112
"2006/1/29",6,24,0,78,66,42,60,48,108
"2006/1/3",5,28,0,56,69,20,47,42,89
"2006/1/30",6,25,0,50,55,26,35,46,81
"2006/1/31",5,23,1,52,58,23,46,35,81
"2006/1/4",3,21,0,37,48,13,40,21,61
"2006/1/5",2,12,0,33,33,14,33,14,47
"2006/1/6",5,19,1,40,47,18,35,30,65
"2006/1/7",4,32,0,59,45,50,52,43,95
"2006/1/8",6,48,1,53,47,61,64,44,108
"2006/1/9",6,23,0,43,54,18,34,38,72
"2006/10/1",11,46,0,52,51,58,63,46,109
"2006/10/10",3,17,0,33,41,12,31,22,53
"2006/10/11",7,18,0,44,59,10,43,26,69
"2006/10/12",4,20,0,47,48,23,37,34,71
"2006/10/13",9,24,0,57,53,37,60,30,90
"2006/10/14",5,34,0,78,56,61,78,39,117
"2006/10/15",13,46,0,49,55,53,57,51,108
"2006/10/16",2,27,0,45,69,5,44,30,74
"2006/10/17",7,18,0,48,61,12,49,24,73
"2006/10/18",7,30,0,36,51,22,37,36,73
"2006/10/19",6,25,0,50,52,29,51,30,81
"2006/10/2",9,17,0,43,46,23,39,30,69
"2006/10/20",10,19,1,67,73,24,61,36,97
"2006/10/21",6,32,1,66,46,59,77,28,105
"2006/10/22",4,34,0,73,53,58,68,43,111
"2006/10/23",2,28,0,48,54,24,48,30,78
"2006/10/24",3,27,0,50,64,16,57,23,80
"2006/10/25",4,23,0,68,78,17,55,40,95
"2006/10/26",9,23,1,50,62,21,55,28,83
"2006/10/27",8,33,0,63,67,37,66,38,104
"2006/10/28",5,47,0,73,67,58,80,45,125
"2006/10/29",5,20,0,62,42,45,55,32,87
"2006/10/3",2,30,2,46,69,11,46,34,80
"2006/10/30",15,25,0,48,68,20,55,33,88
"2006/10/31",3,33,0,65,89,12,72,29,101
"2006/10/4",5,38,1,49,65,28,53,40,93
"2006/10/5",1,23,0,63,59,28,56,31,87
"2006/10/6",3,27,0,74,65,39,75,29,104
"2006/10/7",5,41,1,86,73,60,91,42,133
"2006/10/8",6,31,2,63,57,45,65,37,102
"2006/10/9",1,29,0,48,62,16,54,24,78
"2006/11/1",3,33,0,60,75,21,55,41,96
"2006/11/10",8,23,0,59,58,32,61,29,90
"2006/11/11",14,32,2,73,59,62,84,37,121
"2006/11/12",3,31,0,78,64,48,77,35,112
"2006/11/13",6,30,4,59,86,13,51,48,99
"2006/11/14",2,20,0,44,48,18,49,17,66
"2006/11/15",2,28,1,45,58,18,48,28,76
"2006/11/16",5,27,0,52,67,17,56,28,84
"2006/11/17",3,30,0,65,68,30,63,35,98
"2006/11/18",4,33,1,67,46,59,70,35,105
"2006/11/19",7,34,1,79,68,53,76,45,121
"2006/11/2",5,33,0,55,76,17,47,46,93
"2006/11/20",4,18,0,46,52,16,43,25,68
"2006/11/21",5,31,1,54,61,30,64,27,91
"2006/11/22",6,14,1,36,40,17,35,22,57
"2006/11/23",8,32,0,39,45,34,49,30,79
"2006/11/24",10,33,0,51,69,25,64,30,94
"2006/11/25",8,47,0,86,71,70,97,44,141
