Date,C,EM
7/1/15,2304,0
7/2/15,2304,0
7/3/15,1628,0
7/4/15,1230,0
7/5/15,1216,0
7/6/15,2056,0
7/7/15,2073,0
7/8/15,2320,0
7/9/15,2473,0
7/10/15,2094,0
7/11/15,1151,0
7/12/15,1442,0
7/13/15,2169,0
7/14/15,2149,0
7/15/15,1957,0
7/16/15,2007,0
7/17/15,1794,0
7/18/15,1119,0
7/19/15,1413,0
7/20/15,2028,0
7/21/15,2025,0
7/22/15,3145,0
7/23/15,3054,0
7/24/15,3116,0
7/25/15,2570,0
7/26/15,1822,0
7/27/15,2534,0
7/28/15,2689,0
7/29/15,2417,0
7/30/15,2059,0
7/31/15,1907,0
8/1/15,1187,0
8/2/15,1697,0
8/3/15,2304,0
8/4/15,2350,0
8/5/15,2310,0
8/6/15,2286,0
8/7/15,1928,0
8/8/15,1168,0
8/9/15,1376,0
8/10/15,2145,0
8/11/15,2523,0
8/12/15,2293,0
8/13/15,2618,0
8/14/15,1869,0
8/15/15,1270,0
8/16/15,1276,0
8/17/15,1926,0
8/18/15,2155,0
8/19/15,1965,0
8/20/15,2311,0
8/21/15,2372,0
8/22/15,1470,0
8/23/15,1856,0
8/24/15,2678,0
8/25/15,2471,0
8/26/15,3116,0
8/27/15,2896,0
8/28/15,2230,0
8/29/15,1541,0
8/30/15,1683,0
8/31/15,2486,0
9/1/15,2389,0
9/2/15,2604,0
9/3/15,2669,0
9/4/15,2177,0
9/5/15,1204,0
9/6/15,1462,0
9/7/15,1988,0
9/8/15,2587,0
9/9/15,3371,0
9/10/15,3140,0
9/11/15,2510,0
9/12/15,1485,0
9/13/15,1595,0
9/14/15,2593,0
9/15/15,2670,0
9/16/15,2642,0
9/17/15,2561,0
9/18/15,2622,0
9/19/15,1613,0
9/20/15,1762,0
9/21/15,2666,0
9/22/15,2670,0
9/23/15,2627,0
9/24/15,2808,0
9/25/15,2685,0
9/26/15,2152,0
9/27/15,2258,0
9/28/15,3255,0
9/29/15,2950,0
9/30/15,3010,0
10/1/15,2906,0
10/2/15,2542,0
10/3/15,1649,0
10/4/15,2192,0
10/5/15,3509,0
10/6/15,3100,0
10/7/15,3699,0
10/8/15,3056,0
10/9/15,2607,0
10/10/15,1596,0
10/11/15,1841,0
10/12/15,2839,0
10/13/15,3105,0
10/14/15,3402,0
10/15/15,3269,0
10/16/15,2801,0
10/17/15,1699,0
10/18/15,2049,0
10/19/15,3073,0
10/20/15,3510,0
10/21/15,3698,0
10/22/15,3310,0
10/23/15,2736,0
10/24/15,1891,0
10/25/15,2348,0
10/26/15,3562,0
10/27/15,3407,0
10/28/15,3325,0
10/29/15,3004,0
10/30/15,2564,0
10/31/15,1497,0
11/1/15,1623,0
11/2/15,2799,0
11/3/15,3069,0
11/4/15,3051,0
11/5/15,4286,0
11/6/15,3758,0
11/7/15,2313,0
11/8/15,2596,0
11/9/15,5197,0
11/10/15,4966,0
11/11/15,4128,0
11/12/15,4822,0
11/13/15,4713,0
11/14/15,2669,0
11/15/15,3036,0
11/16/15,4333,0
11/17/15,4467,0
11/18/15,5819,0
11/19/15,3982,0
11/20/15,3538,0
11/21/15,2232,0
11/22/15,2306,0
11/23/15,3688,0
11/24/15,4619,0
11/25/15,3477,0
11/26/15,2911,0
11/27/15,3079,0
11/28/15,3029,0
