Date,Open,High,Low,Close,Adj Close,Volume
1/16/16,,,,,,
1/17/16,,,,,,
1/18/16,,,,,,
1/19/16,,,,,,
1/20/16,,,,,,
1/21/16,,,,,,
1/22/16,,,,,,
1/23/16,,,,,,
1/24/16,,,,,,
1/25/16,,,,,,
1/26/16,,,,,,
1/27/16,,,,,,
1/28/16,,,,,,
1/29/16,,,,,,
1/30/16,,,,,,
1/31/16,,,,,,
2/1/16,,,,,,
2/2/16,,,,,,
2/3/16,18,18.879999,16,18.200001,18.200001,4157398
2/4/16,18.26,19.42,17.57,18.5,18.5,469900
2/5/16,18.84,18.879999,17.52,17.6,17.6,219900
2/8/16,17.52,18,15.72,15.85,15.85,372100
2/9/16,15.5,15.5,12.748,12.81,12.81,744100
2/10/16,13.01,14,12.79,13.09,13.09,260800
2/11/16,12.97,16.9,12.57,15.77,15.77,258900
2/12/16,16,17.440001,15.05,15.4,15.4,216300
2/16/16,15.85,16.205,15.73,15.94,15.94,142500
2/17/16,16.74,17.16,15.96,16.700001,16.700001,245500
2/18/16,17.15,17.389999,16.200001,16.75,16.75,129900
2/19/16,16.860001,19.98,16.66,18.48,18.48,345700
2/22/16,19.6,21.9,19.1,21.620001,21.620001,417000
2/23/16,21.299999,23.48,21.26,22.620001,22.620001,411800
2/24/16,22.9,24.559999,22,23.219999,23.219999,498300
2/25/16,22.84,24.280001,22.799999,23.950001,23.950001,325800
2/26/16,25.360001,29.4,24.32,27.49,27.49,583100
2/29/16,28,30.120001,27.440001,28.950001,28.950001,618700
3/1/16,29.469999,29.799999,26.690001,28.959999,28.959999,532700
3/2/16,29,31.9,28.049999,31.9,31.9,394300
3/3/16,32.919998,39.075001,31.511,37.490002,37.490002,590000
3/4/16,39,39.130001,34.25,35.560001,35.560001,577300
3/7/16,35.889999,41.599998,35.889999,39.110001,39.110001,421100
3/8/16,41.990002,43.990002,40.130001,41.990002,41.990002,603900
3/9/16,42.700001,43.41,30,31.1,31.1,1444300
3/10/16,32.5,32.5,25.639999,26.74,26.74,816900
3/11/16,27.98,32,27.25,31.25,31.25,467800
3/14/16,31.25,34.299999,30.51,30.77,30.77,305500
3/15/16,29.85,33.349998,29.4,32.34,32.34,197800
3/16/16,32.080002,35.200001,31.01,31.02,31.02,278500
3/17/16,31.17,32.539001,30.309999,30.43,30.43,290400
3/18/16,31.57,31.57,28.02,29.360001,29.360001,1080500
3/21/16,30.24,30.5,29,29.959999,29.959999,229900
3/22/16,29.950001,30.379999,29.200001,29.879999,29.879999,100100
3/23/16,30,30.879999,29.110001,30.450001,30.450001,294000
3/24/16,30.440001,31.57,30.049999,31.309999,31.309999,185400
3/28/16,31.780001,31.99,30.049999,30.530001,30.530001,104100
3/29/16,30.129999,33.240002,30.129999,32.610001,32.610001,158500
3/30/16,33,34.325001,31.02,31.190001,31.190001,122500
3/31/16,32,35,31.5,34.540001,34.540001,976300
4/1/16,35,37.41,33.169998,36.900002,36.900002,230300
4/4/16,37.290001,40.5,37,39.580002,39.580002,333900
4/5/16,39.450001,42.845001,38.599998,42.040001,42.040001,403700
4/6/16,41.98,43.5,41.612,41.830002,41.830002,271900
4/7/16,41.5,41.563999,38.599998,39.860001,39.860001,372000
4/8/16,40.41,41.132,40,40.450001,40.450001,236900
4/11/16,41.049999,41.189999,37.259998,37.869999,37.869999,241900
4/12/16,37.48,37.91,35.419998,37.110001,37.110001,275100
4/13/16,38.610001,38.610001,37.150002,38.189999,38.189999,107900
4/14/16,38.099998,40.757999,38.099998,39.73,39.73,159200
4/15/16,39.669998,41.400002,39.669998,39.869999,39.869999,161200
4/18/16,40.5,41.259998,40,40.360001,40.360001,57000
4/19/16,40.759998,41.099998,38.75,39.59,39.59,144900
4/20/16,39.740002,40.966,39.099998,40.639999,40.639999,67600
4/21/16,41.040001,41.240002,39.52,40.23,40.23,91000
4/22/16,40.48,40.757999,37.759998,38.099998,38.099998,210600
4/25/16,38.09,39.5,38.09,38.709999,38.709999,121900
4/26/16,39.279999,39.41,36.5,37,37,141200
4/27/16,36.860001,36.98,36.02,36.369999,36.369999,141600
4/28/16,36.98,38.029999,34.040001,34.139999,34.139999,152300
4/29/16,34,34.549999,32.029999,33.049999,33.049999,215000
5/2/16,33.07,34.308998,33.07,33.509998,33.509998,91100
5/3/16,33.470001,33.52,30.99,30.99,30.99,181900
