"","Focal_ID","Date","Focal_obs","KPC_obs","Swelling","Age","AgeClass","Sex","Focal_Start_Time","Focal_End_Time","AMnest","PMnest","AMtime","PMtime","reprostat","Birthday","Date First Seen","Date Last Seen","Infant ID","Infant Birthday","gest_start","gest_end","lact_start","lact2_end","lact_end","G+L period start","G + L period end","NPNL period start","NPNL period end","Notes","reprostat1","reprostat2","reprostat3"
"1","AL","08-Aug-09","SM","SJ",1,30.1,"young",FALSE,07:00:00,18:40:00,0,1,NA,18:33:00,NA,"02-Jul-82","21-Apr-94",NA,"AZ","28-Dec-04","12-May-04","28-Dec-04","28-Dec-04","28-Dec-06",NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"2","AL","08-Aug-09","SM","SJ",1,30.1,"young",FALSE,07:00:00,18:40:00,0,1,NA,18:33:00,NA,"02-Jul-82","21-Apr-94",NA,"AN","06-May-09","18-Sep-08","06-May-09","06-May-09","06-May-11",NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"3","AL","08-Aug-09","SM","SJ",1,30.1,"young",FALSE,07:00:00,18:40:00,0,1,NA,18:33:00,NA,"02-Jul-82","21-Apr-94",NA,"AE","23-Feb-14","08-Jul-13","23-Feb-14","23-Feb-14","23-Feb-16",NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"4","BL","10-Aug-09","FM","KJ",3,11.6,"adol",FALSE,15:15:00,19:06:00,0,2,NA,19:06:00,NA,"02-Jul-60","24-May-93",NA,"BO","22-Oct-03","06-Mar-03","22-Oct-03","22-Oct-03","21-Oct-05",NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
"5","BL","10-Aug-09","FM","KJ",3,11.6,"adol",FALSE,15:15:00,19:06:00,0,2,NA,19:06:00,NA,"02-Jul-60","24-May-93","07-Jun-16","BT","23-Jun-10","05-Nov-09","23-Jun-10","23-Jun-10","22-Jun-12",NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
"6","LN","17-Aug-09","KJ","SJ",1,17.1,"young",FALSE,06:50:00,12:05:00,0,0,NA,12:05:00,NA,"02-Jul-97","02-Apr-08",NA,"LL","21-Nov-12","05-Apr-12","21-Nov-12","21-Nov-12","21-Nov-14",NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
"7","LR","18-Aug-09","KJ","SM",1,30.1,"young",FALSE,07:00:00,15:10:00,0,0,NA,15:10:00,NA,"15-May-89","16-Jun-89","25-May-13","LO","05-Jan-08","20-May-07","05-Jan-08","05-Jan-08","04-Jan-10",NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"8","ML","27-Aug-09","SM","KJ",1,17.2,"young",FALSE,07:00:00,17:24:00,1,1,07:00:00,17:24:00,NA,"02-Jul-97","14-Jan-09",NA,"MM","21-Jan-12","05-Jun-11","21-Jan-12","21-Jan-12","20-Jan-14",NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"9","MU","28-Aug-09","SJ","SM",1,17.2,"young",FALSE,10:50:00,17:41:00,0,1,NA,17:41:00,NA,"02-Jul-70","02-Feb-90","29-Apr-14","MN","26-Dec-08","10-May-08","26-Dec-08","26-Dec-08","26-Dec-10",NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"10","OT","28-Aug-09","SJ","SM",2,49.2,"old",FALSE,06:56:00,10:50:00,1,0,06:56:00,10:50:00,NA,"13-Feb-98","13-Feb-98",NA,"OB","20-Jan-12","04-Jun-11","20-Jan-12","20-Jan-12","19-Jan-14",NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
