Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,66124,2006,1,1,44.8,1,Y
IDCJAC0010,66124,2006,1,2,23.6,1,Y
IDCJAC0010,66124,2006,1,3,32.7,1,Y
IDCJAC0010,66124,2006,1,4,21.2,1,Y
IDCJAC0010,66124,2006,1,5,22.3,1,Y
IDCJAC0010,66124,2006,1,6,27.2,1,Y
IDCJAC0010,66124,2006,1,7,25.3,1,Y
IDCJAC0010,66124,2006,1,8,26.6,1,Y
IDCJAC0010,66124,2006,1,9,27.8,1,Y
IDCJAC0010,66124,2006,1,10,31.7,1,Y
IDCJAC0010,66124,2006,1,11,35.2,1,Y
IDCJAC0010,66124,2006,1,12,27.6,1,Y
IDCJAC0010,66124,2006,1,13,23.5,1,Y
IDCJAC0010,66124,2006,1,14,32.6,1,Y
IDCJAC0010,66124,2006,1,15,24.2,1,Y
IDCJAC0010,66124,2006,1,16,26.8,1,Y
IDCJAC0010,66124,2006,1,17,29.5,1,Y
IDCJAC0010,66124,2006,1,18,21.6,1,Y
IDCJAC0010,66124,2006,1,19,24.4,1,Y
IDCJAC0010,66124,2006,1,20,26.7,1,Y
IDCJAC0010,66124,2006,1,21,34.3,1,Y
IDCJAC0010,66124,2006,1,22,32.9,1,Y
IDCJAC0010,66124,2006,1,23,34,1,Y
IDCJAC0010,66124,2006,1,24,24.9,1,Y
IDCJAC0010,66124,2006,1,25,21.9,1,Y
IDCJAC0010,66124,2006,1,26,27.4,1,Y
IDCJAC0010,66124,2006,1,27,32.1,1,Y
IDCJAC0010,66124,2006,1,28,29.3,1,Y
IDCJAC0010,66124,2006,1,29,30.1,1,Y
IDCJAC0010,66124,2006,1,30,32.2,1,Y
IDCJAC0010,66124,2006,1,31,24.8,1,Y
IDCJAC0010,66124,2006,2,1,39.5,1,Y
IDCJAC0010,66124,2006,2,2,35.5,1,Y
IDCJAC0010,66124,2006,2,3,26,1,Y
IDCJAC0010,66124,2006,2,4,23.2,1,Y
IDCJAC0010,66124,2006,2,5,27.4,1,Y
IDCJAC0010,66124,2006,2,6,36.6,1,Y
IDCJAC0010,66124,2006,2,7,23.3,1,Y
IDCJAC0010,66124,2006,2,8,26.4,1,Y
IDCJAC0010,66124,2006,2,9,38.5,1,Y
IDCJAC0010,66124,2006,2,10,25.5,1,Y
IDCJAC0010,66124,2006,2,11,27.3,1,Y
IDCJAC0010,66124,2006,2,12,33.3,1,Y
IDCJAC0010,66124,2006,2,13,28.5,1,Y
IDCJAC0010,66124,2006,2,14,23.4,1,Y
IDCJAC0010,66124,2006,2,15,27.6,1,Y
IDCJAC0010,66124,2006,2,16,30.6,1,Y
IDCJAC0010,66124,2006,2,17,36,1,Y
IDCJAC0010,66124,2006,2,18,38.1,1,Y
IDCJAC0010,66124,2006,2,19,32,1,Y
