,gender,race_ethnicity,primary_language,short_name,months_served,enrollment_months,percent
1,Male,White,English,DDIV,3,7,42.86
2,Female,White,English,DDIV,12,12,100
3,Female,White,English,DDIV,15,15,100
4,Male,White,English,DDIV,6,6,100
5,Male,Black or African American,Somali,DDIV,27,27,100
6,Male,Black or African American,Somali,DDIV,2,3,66.67
7,Male,Black or African American,Somali,DDIV,9,9,100
8,Male,Black or African American,Somali,DDIV,10,10,100
9,Male,Hispanic/Latino,English,DDIV,8,9,88.89
10,Female,Black or African American,English,DDIV,5,5,100
11,Female,Hispanic/Latino,Spanish,DDIV,11,12,91.67
12,Female,White,Russian,DDIV,4,4,100
13,Male,Asian,Nepali,DDIV,5,5,100
14,Female,White,English,DDIV,13,13,100
15,Female,Hispanic/Latino,Spanish,DDIV,2,2,100
16,Male,Hispanic/Latino,Spanish,DDIV,9,9,100
17,Male,Hispanic/Latino,Spanish,DDIV,11,11,100
18,Male,Hispanic/Latino,English,DDIV,6,6,100
19,Male,Hispanic/Latino,Spanish,DDIV,7,7,100
20,Male,Hispanic/Latino,Spanish,DDIV,32,32,100
21,Male,White,English,DDIV,8,9,88.89
22,Female,White,English,DDIV,4,4,100
23,Female,White,English,DDIV,9,9,100
24,Male,White,English,DDIV,1,3,33.33
25,Male,Hispanic/Latino,English,DDIV,10,10,100
26,Female,White,English,DDIV,12,12,100
27,Male,Asian,Nepali,DDIV,11,11,100
28,Male,White,English,DDIV,3,3,100
29,Male,White,English,DDIV,12,17,70.59
30,Female,White,English,DDIV,6,6,100
31,Female,White,English,DDIV,12,12,100
32,Male,Native Hawaiian or Other Pacific Islander,English,DDIV,5,6,83.33
33,Female,White,English,DDIV,10,12,83.33
34,Male,Hispanic/Latino,Spanish,DDIV,5,5,100
35,Male,Hispanic/Latino,English,DDIV,11,12,91.67
36,Female,Hispanic/Latino,English,DDIV,4,4,100
37,Female,Hispanic/Latino,English,DDIV,8,9,88.89
38,Male,Hispanic/Latino,English,DDIV,9,9,100
39,Male,Hispanic/Latino,English,DDIV,12,12,100
40,Male,Hispanic/Latino,Spanish,DDIV,12,12,100
41,Female,Hispanic/Latino,Spanish,DDIV,25,26,96.15
42,Female,Hispanic/Latino,English,DDIV,4,4,100
43,Male,Hispanic/Latino,Spanish,DDIV,16,17,94.12
44,Female,Hispanic/Latino,English,DDIV,11,11,100
45,Female,Hispanic/Latino,Spanish,DDIV,5,5,100
46,Male,Hispanic/Latino,Spanish,DDIV,17,17,100
47,Female,Hispanic/Latino,Spanish,DDIV,23,24,95.83
48,Female,Hispanic/Latino,Spanish,DDIV,26,26,100
49,Male,Hispanic/Latino,Spanish,DDIV,32,34,94.12
50,Male,Hispanic/Latino,Spanish,DDIV,12,12,100
51,Male,Hispanic/Latino,Spanish,DDIV,6,6,100
52,Female,Hispanic/Latino,Spanish,DDIV,12,12,100
53,Female,Hispanic/Latino,Spanish,DDIV,26,26,100
54,Male,Hispanic/Latino,Spanish,DDIV,17,17,100
55,Male,White,English,DDIV,35,36,97.22
56,Male,White,English,DDIV,9,9,100
57,Male,Hispanic/Latino,English,DDIV,10,10,100
58,Male,Native Hawaiian or Other Pacific Islander,English,DDIV,8,8,100
59,Male,White,English,DDIV,11,11,100
60,Male,Black or African American,English,DDIV,9,10,90
61,Female,White,English,DDIV,4,4,100
62,Male,Hispanic/Latino,English,DDIV,15,15,100
63,Male,Hispanic/Latino,Spanish,DDIV,5,6,83.33
64,Male,Hispanic/Latino,Spanish,DDIV,14,15,93.33
65,Male,Hispanic/Latino,Spanish,DDIV,13,13,100
66,Male,Hispanic/Latino,Spanish,DDIV,34,34,100
67,Male,Hispanic/Latino,Spanish,DDIV,4,4,100
