race_ethnicity,primary_language,short_name,months_served,enrollment_months,percent
White,English,DDIV,3,7,42.86
White,English,DDIV,12,12,100
White,English,DDIV,15,15,100
White,English,DDIV,6,6,100
Black or African American,Somali,DDIV,27,27,100
Black or African American,Somali,DDIV,2,3,66.67
Black or African American,Somali,DDIV,9,9,100
Black or African American,Somali,DDIV,10,10,100
Hispanic/Latino,English,DDIV,8,9,88.89
Black or African American,English,DDIV,5,5,100
Hispanic/Latino,Spanish,DDIV,11,12,91.67
White,Russian,DDIV,4,4,100
Asian,Nepali,DDIV,5,5,100
White,English,DDIV,13,13,100
Hispanic/Latino,Spanish,DDIV,2,2,100
Hispanic/Latino,Spanish,DDIV,9,9,100
Hispanic/Latino,Spanish,DDIV,11,11,100
Hispanic/Latino,English,DDIV,6,6,100
Hispanic/Latino,Spanish,DDIV,7,7,100
Hispanic/Latino,Spanish,DDIV,32,32,100
White,English,DDIV,8,9,88.89
White,English,DDIV,4,4,100
White,English,DDIV,9,9,100
White,English,DDIV,1,3,33.33
Hispanic/Latino,English,DDIV,10,10,100
White,English,DDIV,12,12,100
Asian,Nepali,DDIV,11,11,100
White,English,DDIV,3,3,100
White,English,DDIV,12,17,70.59
White,English,DDIV,6,6,100
White,English,DDIV,12,12,100
Native Hawaiian or Other Pacific Islander,English,DDIV,5,6,83.33
White,English,DDIV,10,12,83.33
Hispanic/Latino,Spanish,DDIV,5,5,100
Hispanic/Latino,English,DDIV,11,12,91.67
Hispanic/Latino,English,DDIV,4,4,100
Hispanic/Latino,English,DDIV,8,9,88.89
Hispanic/Latino,English,DDIV,9,9,100
Hispanic/Latino,English,DDIV,12,12,100
Hispanic/Latino,Spanish,DDIV,12,12,100
Hispanic/Latino,Spanish,DDIV,25,26,96.15
Hispanic/Latino,English,DDIV,4,4,100
Hispanic/Latino,Spanish,DDIV,16,17,94.12
Hispanic/Latino,English,DDIV,11,11,100
Hispanic/Latino,Spanish,DDIV,5,5,100
Hispanic/Latino,Spanish,DDIV,17,17,100
Hispanic/Latino,Spanish,DDIV,23,24,95.83
Hispanic/Latino,Spanish,DDIV,26,26,100
Hispanic/Latino,Spanish,DDIV,32,34,94.12
Hispanic/Latino,Spanish,DDIV,12,12,100
Hispanic/Latino,Spanish,DDIV,6,6,100
Hispanic/Latino,Spanish,DDIV,12,12,100
Hispanic/Latino,Spanish,DDIV,26,26,100
Hispanic/Latino,Spanish,DDIV,17,17,100
White,English,DDIV,35,36,97.22
White,English,DDIV,9,9,100
Hispanic/Latino,English,DDIV,10,10,100
Native Hawaiian or Other Pacific Islander,English,DDIV,8,8,100
White,English,DDIV,11,11,100
Black or African American,English,DDIV,9,10,90
White,English,DDIV,4,4,100
Hispanic/Latino,English,DDIV,15,15,100
Hispanic/Latino,Spanish,DDIV,5,6,83.33
Hispanic/Latino,Spanish,DDIV,14,15,93.33
Hispanic/Latino,Spanish,DDIV,13,13,100
Hispanic/Latino,Spanish,DDIV,34,34,100
Hispanic/Latino,Spanish,DDIV,4,4,100
Hispanic/Latino,Spanish,DDIV,13,14,92.86
Hispanic/Latino,Spanish,DDIV,2,2,100
Hispanic/Latino,Spanish,DDIV,14,14,100
Hispanic/Latino,Spanish,DDIV,3,4,75
Hispanic/Latino,Spanish,DDIV,19,19,100
Hispanic/Latino,Spanish,DDIV,12,12,100
Hispanic/Latino,English,DDIV,5,5,100
White,Arabic,DDIV,3,3,100
White,English,DDIV,34,35,97.14
White,English,DDIV,11,11,100
White,English,DDIV,11,11,100
White,English,DDIV,19,19,100
White,English,DDIV,7,7,100
White,English,DDIV,8,8,100
Hispanic/Latino,English,DDIV,16,16,100
Hispanic/Latino,Spanish,DDIV,6,6,100
Hispanic/Latino,Spanish,DDIV,30,30,100
Hispanic/Latino,Spanish,DDIV,12,12,100
White,Arabic,DDIV,3,3,100
Black or African American,Somali,DDIV,6,6,100
White,Somali,DDIV,14,14,100
Asian,Turkish,DDIV,6,6,100
Hispanic/Latino,Spanish,DDIV,8,8,100
Black or African American,Maimai,DDIV,22,23,95.65
White,English,DDIV,5,5,100
White,English,DDIV,10,10,100
White,English,DDIV,6,6,100
White,English,DDIV,10,10,100
American Indian or Alaska Native,English,DDIV,17,18,94.44
White,English,DDIV,1,2,50
White,English,DDIV,16,16,100
White,English,DDIV,19,31,61.29
White,English,DDIV,21,21,100
Black or African American,English,DDIV,2,2,100
White,English,DDIV,5,7,71.43
White,English,DDIV,9,9,100
White,English,DDIV,22,22,100
White,English,DDIV,11,16,68.75
White,English,DDIV,1,1,100
Hispanic/Latino,English,DDIV,13,13,100
White,English,DDIV,4,4,100
White,English,DDIV,12,14,85.71
White,English,DDIV,21,21,100
White,English,DDIV,3,4,75
White,English,DDIV,1,1,100
White,English,DDIV,8,11,72.73
Hispanic/Latino,Spanish,DDIV,8,8,100
White,English,DDIV,6,6,100
White,Arabic,DDIV,1,2,50
White,Arabic,DDIV,7,7,100
White,Arabic,DDIV,4,6,66.67
White,Arabic,DDIV,3,3,100
Asian,English,DDIV,5,7,71.43
Hispanic/Latino,Spanish,DDIV,7,7,100
Hispanic/Latino,Spanish,DDIV,4,4,100
Hispanic/Latino,Spanish,DDIV,15,15,100
White,Arabic,DDIV,3,3,100
Asian,Arabic,DDIV,3,3,100
White,Arabic,DDIV,6,6,100
Hispanic/Latino,Spanish,DDIV,8,8,100
