ID,Race/Ethnicity,Months Enrolled
1,White,13
2,Hispanic/Latino,6
3,White,9
4,White,12
5,Hispanic/Latino,5
6,Hispanic/Latino,12
7,Hispanic/Latino,13
8,Hispanic/Latino,11
9,Hispanic/Latino,26
10,Hispanic/Latino,12
11,Hispanic/Latino,6
12,Hispanic/Latino,26
13,Hispanic/Latino,6
14,Hispanic/Latino,2
15,White,11
16,White,11
17,White,19
18,Black or African American,23
19,White,21
20,White,16
21,White,7
22,Hispanic/Latino,7
23,White,3
24,White,6
25,Two or More Races,3
26,Hispanic/Latino,7
27,Hispanic/Latino,15
28,Hispanic/Latino,7
29,White,2
30,White,7
31,White,15
32,White,12
33,White,3
34,White,11
35,White,7
36,Two or More Races,11
37,White,2
38,Asian,12
39,White,3
40,Hispanic/Latino,11
41,White,15
42,Hispanic/Latino,5
43,Hispanic/Latino,2
44,Hispanic/Latino,9
45,Hispanic/Latino,15
46,Hispanic/Latino,11
47,White,24
48,White,11
49,Hispanic/Latino,7
50,Hispanic/Latino,18
51,Hispanic/Latino,5
52,White,8
53,White,9
54,White,17
55,White,3
56,White,10
57,Hispanic/Latino,12
58,White,5
59,White,5
60,White,9
61,White,5
62,White,9
63,Hispanic/Latino,13
64,White,19
65,White,15
66,Hispanic/Latino,5
67,Hispanic/Latino,6
68,Asian,13
69,White,9
70,White,7
71,White,5
72,White,5
73,Black or African American,4
74,White,23
75,White,1
76,White,5
77,White,3
78,White,6
79,White,14
80,White,12
81,American Indian or Alaska Native,5
82,Hispanic/Latino,8
83,White,24
84,White,7
85,Hispanic/Latino,10
86,Two or More Races,6
87,Hispanic/Latino,6
88,White,10
89,White,6
90,White,22
91,White,12
92,Black or African American,4
93,White,31
94,White,15
95,White,18
96,White,3
97,White,11
98,White,9
99,Hispanic/Latino,13
100,Hispanic/Latino,18
101,White,11
102,Two or More Races,6
103,White,16
104,White,3
105,White,13
106,White,13
107,White,18
108,White,12
109,Black or African American,21
110,White,2
111,White,9
112,White,2
113,White,11
114,White,17
115,White,18
116,Hispanic/Latino,11
117,White,11
118,White,11
119,White,2
120,Hispanic/Latino,5
121,White,3
122,Hispanic/Latino,12
123,Hispanic/Latino,12
124,Hispanic/Latino,12
125,White,12
126,White,3
127,Hispanic/Latino,9
128,Hispanic/Latino,7
129,White,4
130,Hispanic/Latino,4
131,White,5
132,Hispanic/Latino,11
133,White,35
134,White,9
135,Hispanic/Latino,8
136,Hispanic/Latino,30
137,White,19
138,White,9
139,White,5
140,Hispanic/Latino,12
141,Hispanic/Latino,16
142,Hispanic/Latino,31
143,Hispanic/Latino,5
144,White,34
145,Asian,6
146,White,6
147,Hispanic/Latino,6
148,White,36
149,White,14
150,White,11
151,White,15
152,White,13
153,White,13
154,Hispanic/Latino,11
155,White,5
156,White,13
157,White,13
158,White,6
159,White,7
160,Hispanic/Latino,9
161,White,36
162,White,12
163,White,29
164,White,9
165,White,7
166,White,9
167,White,3
168,Hispanic/Latino,35
169,Two or More Races,11
170,White,7
171,White,6
172,White,6
173,Asian,13
174,Hispanic/Latino,10
175,Hispanic/Latino,9
176,White,1
177,Hispanic/Latino,7
178,Hispanic/Latino,9
179,White,27
180,White,27
181,White,5
182,White,6
183,White,9
184,White,7
185,White,7
186,White,25
187,White,10
188,White,2
189,White,7
190,Hispanic/Latino,4
191,Hispanic/Latino,6
192,Hispanic/Latino,8
193,Hispanic/Latino,8
194,Hispanic/Latino,4
195,Hispanic/Latino,17
196,White,6
197,White,6
198,White,35
199,Two or More Races,5
200,White,6
201,White,6
202,White,9
203,Hispanic/Latino,8
204,Hispanic/Latino,4
205,White,16
206,Hispanic/Latino,8
207,Hispanic/Latino,7
208,Hispanic/Latino,9
209,Hispanic/Latino,2
210,White,35
211,White,15
212,White,7
213,White,6
214,White,8
215,Hispanic/Latino,12
216,White,6
217,White,22
218,White,19
219,Black or African American,13
220,White,9
221,Hispanic/Latino,12
222,Hispanic/Latino,17
223,White,30
224,White,4
225,White,4
226,White,2
227,White,5
228,White,21
229,White,13
230,Black or African American,18
231,White,10
232,White,22
233,White,11
234,Hispanic/Latino,13
235,Two or More Races,14
236,White,13
237,Hispanic/Latino,9
238,Hispanic/Latino,5
239,White,4
240,Hispanic/Latino,11
241,Hispanic/Latino,6
242,Hispanic/Latino,4
243,Hispanic/Latino,29
244,White,22
245,Native Hawaiian or Other Pacific Islander,18
246,Native Hawaiian or Other Pacific Islander,6
247,White,13
248,White,31
249,White,10
250,White,10
251,Two or More Races,10
252,Native Hawaiian or Other Pacific Islander,7
253,White,10
254,Hispanic/Latino,11
255,Hispanic/Latino,19
256,Hispanic/Latino,13
257,White,6
258,Native Hawaiian or Other Pacific Islander,10
259,White,6
260,White,8
261,White,15
262,White,12
263,Hispanic/Latino,36
264,Hispanic/Latino,12
265,Hispanic/Latino,13
266,Hispanic/Latino,14
267,Hispanic/Latino,12
268,Hispanic/Latino,21
269,Hispanic/Latino,10
270,Native Hawaiian or Other Pacific Islander,2
271,White,13
272,White,23
273,White,7
274,White,3
275,White,4
276,White,20
277,White,14
278,White,6
279,Hispanic/Latino,12
280,White,11
281,Black or African American,13
282,White,5
283,White,2
284,White,5
285,White,10
286,White,11
287,White,11
288,White,12
289,Hispanic/Latino,4
290,Hispanic/Latino,9
291,Hispanic/Latino,12
292,Hispanic/Latino,11
293,Hispanic/Latino,8
294,Black or African American,15
295,Hispanic/Latino,12
296,Hispanic/Latino,33
297,Hispanic/Latino,11
298,Hispanic/Latino,6
299,Hispanic/Latino,2
