short_name,months_served,enrollment_months,percent
DDIV,9,9,100
DDIV,8,9,88.89
DDIV,4,4,100
DDIV,5,5,100
DDIV,4,4,100
DDIV,9,9,100
DDIV,1,3,33.33
DDIV,32,34,94.12
DDIV,9,10,90
DDIV,4,4,100
DDIV,15,15,100
DDIV,34,34,100
DDIV,14,14,100
DDIV,3,4,75
DDIV,5,5,100
DDIV,7,7,100
DDIV,8,8,100
DDIV,16,16,100
DDIV,12,12,100
DDIV,3,3,100
DDIV,17,18,94.44
DDIV,1,2,50
DDIV,19,31,61.29
DDIV,6,6,100
DDIV,1,2,50
DDIV,4,4,100
DDIV,3,3,100
DDIV,7,7,100
DDIV,35,35,100
DDIV,14,16,87.5
DDIV,1,3,33.33
DDIV,8,8,100
DDIV,1,3,33.33
DDIV,12,13,92.31
DDIV,32,32,100
DDIV,32,32,100
DDIV,2,2,100
DDIV,9,9,100
DDIV,15,18,83.33
DDIV,3,5,60
DDIV,4,5,80
DDIV,7,7,100
DDIV,5,5,100
DDIV,8,9,88.89
DDIV,8,9,88.89
DDIV,1,2,50
DDIV,12,12,100
DDIV,24,24,100
DDIV,16,16,100
DDIV,12,12,100
DDIV,6,6,100
DDIV,11,11,100
DDIV,2,4,50
DDIV,13,13,100
DDIV,19,20,95
DDIV,3,4,75
DDIV,11,11,100
DDIV,7,7,100
DDIV,5,5,100
DDIV,8,8,100
DDIV,4,8,50
DDIV,8,8,100
DDIV,13,13,100
DDIV,13,13,100
DDIV,25,36,69.44
DDIV,6,6,100
DDIV,7,7,100
DDIV,12,13,92.31
DDIV,9,9,100
DDIV,3,3,100
DDIV,4,6,66.67
DDIV,24,24,100
DDIV,25,29,86.21
DDIV,5,5,100
DDIV,5,6,83.33
DDIV,35,35,100
DDIV,5,6,83.33
DDIV,10,13,76.92
DDIV,12,13,92.31
DDIV,8,8,100
DDIV,20,20,100
DDIV,9,9,100
DDIV,7,7,100
DDIV,6,6,100
DDIV,1,1,100
DDIV,7,7,100
DDIV,35,36,97.22
DDIV,28,28,100
DDIV,11,11,100
DDIV,16,16,100
DDIV,3,3,100
DDIV,12,12,100
DDIV,4,4,100
DDIV,13,13,100
DDIV,8,8,100
DDIV,6,7,85.71
DDIV,11,13,84.62
DDIV,11,11,100
DDIV,12,13,92.31
DDIV,1,2,50
DDIV,2,5,40
DDIV,36,36,100
DDIV,8,8,100
DDIV,10,10,100
DDIV,30,33,90.91
DDIV,3,4,75
DDIV,25,25,100
DDIV,12,12,100
DDIV,12,12,100
DDIV,6,7,85.71
DDIV,1,3,33.33
DDIV,33,34,97.06
DDIV,5,5,100
DDIV,13,13,100
DDIV,13,14,92.86
DDIV,8,8,100
DDIV,7,7,100
DDIV,5,7,71.43
DDIV,7,7,100
DDIV,16,16,100
DDIV,7,9,77.78
DDIV,6,6,100
DDIV,8,9,88.89
DDIV,4,4,100
DDIV,6,6,100
DDIV,20,20,100
DDIV,9,9,100
DDIV,1,4,25
DDIV,15,16,93.75
DDIV,13,13,100
DDIV,8,9,88.89
DDIV,22,22,100
DDIV,16,16,100
DDIV,4,5,80
DDIV,7,7,100
DDIV,15,15,100
DDIV,4,4,100
DDIV,7,8,87.5
DDIV,13,13,100
DDIV,9,9,100
DDIV,13,13,100
DDIV,7,7,100
DDIV,20,20,100
DDIV,11,11,100
DDIV,5,5,100
DDIV,25,25,100
DDIV,25,26,96.15
DDIV,13,13,100
DDIV,9,10,90
DDIV,5,5,100
DDIV,9,9,100
DDIV,7,7,100
DDIV,9,9,100
DDIV,8,9,88.89
DDIV,7,8,87.5
DDIV,2,5,40
DDIV,4,6,66.67
DDIV,8,10,80
DDIV,18,18,100
DDIV,6,7,85.71
DDIV,15,15,100
DDIV,1,3,33.33
DDIV,4,4,100
DDIV,5,5,100
DDIV,5,8,62.5
DDIV,5,8,62.5
DDIV,18,18,100
DDIV,10,10,100
DDIV,10,10,100
DDIV,13,13,100
DDIV,9,9,100
DDIV,3,3,100
DDIV,13,13,100
DDIV,13,14,92.86
DDIV,31,31,100
DDIV,4,4,100
DDIV,2,2,100
DDIV,11,11,100
DDIV,20,21,95.24
DDIV,4,4,100
DDIV,9,10,90
DDIV,9,9,100
DDIV,22,22,100
DDIV,3,3,100
DDIV,1,2,50
DDIV,4,4,100
DDIV,2,2,100
DDIV,6,7,85.71
DDIV,9,20,45
DDIV,7,7,100
DDIV,32,33,96.97
DDIV,18,18,100
DDIV,13,13,100
DDIV,23,23,100
DDIV,11,11,100
DDIV,5,5,100
DDIV,2,5,40
DDIV,5,5,100
DDIV,11,11,100
DDIV,3,3,100
DDIV,13,13,100
DDIV,5,5,100
DDIV,17,17,100
DDIV,3,3,100
DDIV,14,14,100
DDIV,11,11,100
DDIV,3,3,100
DDIV,12,12,100
