Dindex,Pindex,YHOO,BIDU,SINA,SOUH,FB,DATE,GRPN,TZOO,PRSS,HSTM
11/19/12,2916.070068,18.36,92.42,48.59,36.494,22.92,5.42,3.105,17.78,5.77,23.07
11/20/12,2916.679932,18.24,94.05,47,36.72,23.1,5.49,3.37,16.74,5.6,23.63
11/21/12,2926.550049,18.4,93.24,47.3,37.046,24.32,5.06,3.88,17.33,5.8,23.66
11/23/12,2966.850098,18.57,96.22,47.08,37.88,23.998,5.17,3.95,17.28,5.64,23.66
11/26/12,2976.780029,18.755,95.45,47.1945,38.48,25.94,5.4,3.805,17.7,5.49,22.96
11/27/12,2967.790039,18.93,94.52,47.3101,39.54,26.15,5.43,3.96,18.14,5.39,23.26
11/28/12,2991.780029,18.91,95.81,46.77,39.76,26.36,5.47,4.42,18.02,5.4,23.5
11/29/12,3012.030029,18.87,99,46.4,39.7,27.32,5.38,4.54,17.43,5.44,24.06
11/30/12,3010.23999,18.77,96.31,45.52,39.83,28,5.3,4.145,17.56,5.83,23.72
12/3/12,3002.199951,18.55,95.9029,45.45,39.58,27.04,5.22,4.11,17.68,5.55,23.79
12/4/12,2996.689941,18.93,90.2419,42.09,38.2259,27.46,5.07,3.7601,18.05,5.4,24.26
12/5/12,2973.699951,18.89,88.1159,41.4883,38.1,27.71,5.3,3.86,17.85,5.39,24.1
12/6/12,2989.27002,19.2,89.022,41.9905,38.82,26.97,5.185,3.81,17.8,5.44,24.04
12/7/12,2978.040039,19.2,89.36,41.92,37.78,27.485,5.48,4.685,17.71,5.33,23.43
12/10/12,2986.959961,19.43,91.75,41.36,38.25,27.84,5.25,4.25,17.85,5.31,22.55
12/11/12,3022.300049,19.52,94.1,43.17,39.26,27.98,4.92,4.41,18.42,5.32,22.28
12/12/12,3013.810059,19.38,96.09,44.8552,40.45,27.5801,4.877,4.58,18.09,5.31,22.65
12/13/12,2992.159912,19.35,95.25,44.53,40.87,28.24,4.6,4.8,18.03,5.3,23.05
12/14/12,2971.330078,19.64,97.3977,45.33,42.24,26.812,4.6,4.93,18.41,5.29,23.22
12/17/12,3010.600098,19.69,96.26,48.65,43.91,26.75,4.81,4.79,18.77,5.46,23.27
12/18/12,3054.530029,19.62,98.55,48.6368,44.14,27.71,4.71,5.0107,19,5.58,23.42
12/19/12,3044.360107,19.6,100.5812,48.9613,44.05,27.41,4.69,4.88,19.87,5.68,23.07
12/20/12,3050.389893,19.6921,99.84,48.76,44.05,27.36,4.67,4.7906,19.91,5.82,23.06
12/21/12,3021.01001,19.35,98.7,48.09,44.48,26.26,4.99,4.82,19.38,5.8,23.08
12/24/12,3012.600098,19.65,96.77,47.31,43.47,26.93,5.21,4.63,19.35,5.64,23
12/26/12,2990.159912,19.57,101.4454,48.03,44.62,26.51,5.28,4.8,19.14,5.5,22.8
12/27/12,2985.909912,19.6,99.43,47.3,45.16,26.05,5.39,4.86,18.82,5.58,22.93
12/28/12,2960.310059,19.5,99,48.3531,46.47,25.9112,5.44,4.78,18.82,5.6,22.99
12/31/12,3019.51001,19.9,100.29,50.22,47.34,26.6197,5.55,4.86,18.99,5.77,24.31
1/2/13,3112.26001,20.08,104.12,52.27,47.99,28,5.38,4.96,19.4,5.83,24.47
1/3/13,3100.570068,19.78,104.98,52.77,47.75,27.77,5.71,5.12,19.11,5.71,24.42
1/4/13,3101.659912,19.86,104.6462,52.76,47.9,28.76,6.03,5.27,19.07,5.86,24.89
1/7/13,3098.810059,19.4,102.2881,52.57,47.82,29.4213,5.85,5.3,19.23,5.64,23.87
